Memory MB nvidia-chip	memtotal	memfree	cached	active	buffers	inactive
428	7859.9	146.6	449.9	1908.8	5.2	507
429	7859.9	146.6	449.9	1908.8	5.2	507
430	7859.9	146.6	449.9	1908.8	5.2	507
431	7859.9	146.6	449.9	1908.8	5.2	507
432	7859.9	146	449.9	1909.3	5.2	506.6
433	7859.9	145.7	449.9	1909.3	5.2	506.6
434	7859.9	145.7	449.9	1909.3	5.2	506.6
435	7859.9	145.7	449.9	1909.3	5.2	506.6
436	7859.9	145.7	449.9	1909.3	5.2	506.6
437	7859.9	145.7	449.9	1909.3	5.2	506.6
438	7859.9	145.7	449.9	1909.3	5.2	506.6
439	7859.9	145.7	449.9	1909.3	5.2	506.6
440	7859.9	145.7	449.9	1909.3	5.2	506.6
441	7859.9	145.7	449.9	1909.3	5.2	506.6
442	7859.9	145.9	449.9	1909.4	5.2	506.6
443	7859.9	144.4	451.4	1909.7	5.2	508.1
444	7859.9	144.4	451.4	1909.7	5.2	508.1
445	7859.9	147.5	451.4	1906.6	5.3	508.1
446	7859.9	135.2	451.4	1918.8	5.3	508.1
447	7859.9	129.5	451.4	1924.5	5.3	508.1
448	7859.9	117.1	451.4	1936.8	5.3	508.1
449	7859.9	105.4	451.4	1948.6	5.3	508.1
450	7859.9	103.9	451.4	1950	5.3	508.1
451	7859.9	103.9	451.4	1950	5.3	508.1
452	7859.9	98.8	453	1954.2	7.3	507.7
453	7859.9	99.1	453	1954.3	7.3	507.9
454	7859.9	99.1	453	1954.4	7.3	507.9
455	7859.9	99	453	1954.4	7.3	507.9
456	7859.9	99	453	1954.4	7.3	507.9
457	7859.9	99	453	1954.4	7.3	507.9
458	7859.9	99	453	1954.4	7.3	507.9
459	7859.9	98.6	453	1954.7	7.3	507.9
460	7859.9	98.6	453	1954.8	7.4	507.9
461	7859.9	81.7	453	1971.5	7.4	507.9
462	7859.9	101.5	428.7	1965	7	495.2
463	7859.9	145.9	428.7	1919.9	7	495.2
464	7859.9	146	428.7	1919.8	7	495.2
465	7859.9	146	428.7	1919.8	7	495.2
466	7859.9	146	428.7	1919.9	7	495.2
467	7859.9	146	428.7	1919.9	7	495.2
468	7859.9	144.8	430.2	1920	7	496.8
469	7859.9	144.8	430.3	1920	7	496.9
470	7859.9	144.8	430.3	1920	7	496.9
471	7859.9	144.8	430.3	1920	7	496.9
472	7859.9	144.8	430.3	1920	7	496.9
473	7859.9	144.4	430.3	1920.2	7	496.8
474	7859.9	144.4	430.3	1920.3	7	496.7
475	7859.9	144.4	430.3	1920.3	7	496.7
476	7859.9	144.3	430.3	1920.3	7	496.8
477	7859.9	144.3	430.3	1920.3	7	496.8
478	7859.9	144.3	430.3	1920.3	7	496.9
479	7859.9	144.3	430.3	1920.3	7	496.9
480	7859.9	144.3	430.3	1920.3	7.1	496.9
481	7859.9	144.3	430.3	1920.3	7.1	497
482	7859.9	144.3	430.3	1920.3	7.1	497
483	7859.9	144.3	430.3	1920.3	7.1	497
484	7859.9	144.3	430.3	1920.3	7.1	497
485	7859.9	144.3	430.3	1920.3	7.1	497
486	7859.9	144.3	430.3	1920.3	7.1	497
487	7859.9	144.3	430.3	1920.3	7.1	497
488	7859.9	144.3	430.3	1920.3	7.1	497
489	7859.9	144.3	430.3	1920.3	7.1	497
490	7859.9	144.2	430.3	1920.3	7.1	497
491	7859.9	144.2	430.3	1920.3	7.1	497
492	7859.9	144.2	430.3	1920.3	7.1	497
493	7859.9	143.8	430.3	1920.4	7.1	497
494	7859.9	143.8	430.3	1920.4	7.1	497
495	7859.9	143.8	430.3	1920.4	7.1	497
496	7859.9	143.8	430.3	1920.4	7.1	497
497	7859.9	143.8	430.3	1920.4	7.1	497
498	7859.9	141.3	433.3	1920.9	7.1	499.4
499	7859.9	135.3	439	1921.1	7.4	505.1
500	7859.9	134.1	440.3	1921.1	7.4	506.4
501	7859.9	142.9	440.3	1911.9	7.4	506.5
502	7859.9	142.9	440.3	1911.9	7.4	506.5
